geo,nights,population_2023,pop_change_pct,nights_per_capita,cluster,cluster_refined
AT11,2812051.6666666665,301250.0,3.1693858375331,9.334611341632089,2,2
AT12,6359205.0,1718373.0,3.1756758374494516,3.7007128254459305,2,2
AT13,15758052.333333334,1982097.0,6.19364074935302,7.9501923131579,0,0
AT21,11299057.0,568984.0,1.577113842445507,19.85830357268394,2,2
AT22,11594141.666666666,1265198.0,2.3856366723807345,9.16389503197655,2,2
AT31,7625982.666666667,1522825.0,3.8527364723638278,5.007786624639514,0,0
AT32,24208336.666666668,568346.0,3.420325419532773,42.5943644657773,3,3
AT33,37738591.0,771304.0,3.3056420906888198,48.92829675458704,3,3
AT34,7281195.0,406395.0,4.654095435504581,17.916546709482155,0,0
BE10,6906962.0,1253178.0,4.884229841425741,5.5115570174388635,0,0
BE21,5410437.666666667,1915921.0,4.506729572976384,2.823935677236518,0,0
BE22,5060506.333333333,898619.0,3.617576388817275,5.6314259250397924,0,0
BE23,2955345.0,1563346.0,4.566029668736291,1.8903972633057557,0,0
BE24,2280892.0,1188079.0,5.194783522141398,1.9198150964708576,0,0
BE25,12226862.0,1222004.0,3.0807193769112957,10.005582633117404,2,2
BE31,547648.0,413959.0,3.426332725624396,1.3229522730511958,2,2
BE32,1372614.6666666667,1361026.0,1.5473791372838521,1.0085146548755621,2,2
BE33,2770636.3333333335,1122360.0,1.6801233521988577,2.468580788101263,2,2
BE34,3140703.6666666665,297654.0,4.800182449738606,10.551525148886514,0,0
BE35,1515333.6666666667,506650.0,2.665815759818078,2.990888516069608,2,2
BG31,723193.6666666666,671502.0,-9.875839454497088,1.076979170079414,1,1
BG32,812624.3333333334,686334.0,-9.08035194064476,1.1840071063554092,1,1
BG33,6161770.0,823884.0,-4.674792995541442,7.478929072539338,1,1
BG34,10248867.333333334,948410.0,-4.055587553826864,10.806367850753718,1,1
BG41,4772089.666666667,2016554.0,-1.908282356416096,2.3664576632545753,1,1
BG42,3509634.3333333335,1301026.0,-3.777916927572532,2.6975896971569617,1,1
CH01,15758938.333333334,1701827.0,6.521065551793089,9.260011936191713,0,0
CH02,11017790.333333334,1918746.0,4.059477143068117,5.742182828437602,0,0
CH03,2726452.0,1202435.0,6.410433372485391,2.2674423149692085,0,0
CH04,6538825.666666667,1579967.0,6.724649781366788,4.138583696157367,0,0
CH05,12047428.0,1217015.0,5.824649080948691,9.899161472948157,0,0
CH06,5793143.666666667,841372.0,6.060384258954856,6.885353525749213,0,0
CH07,4473286.0,354023.0,1.1339830199401202,12.635580174169474,2,2
CZ01,16179674.666666666,1357326.0,6.969339048738791,11.920256936555157,0,0
CZ02,2974198.0,1439391.0,7.624584656211769,2.0662891458957295,0,0
CZ03,6610626.666666667,1257691.0,3.8383734148394937,5.256161224550917,0,0
CZ04,6464672.666666667,1105932.0,-0.9420057559058925,5.845452221896705,2,2
CZ05,9319903.0,1533205.0,1.8210449810223694,6.078706369989662,2,2
CZ06,5739178.666666667,1731977.0,3.1076937078451152,3.3136575524193836,2,2
CZ07,4533753.333333333,1212333.0,-0.21591239843648508,3.7396930821262253,2,2
CZ08,2737282.0,1189674.0,-1.3833811819691082,2.300867296419019,2,2
DE11,12179515.0,4142738.0,0.9211018618320551,2.9399674804440927,2,2
DE12,10277480.0,2832121.0,1.7391907741051433,3.628898624034778,2,2
DE13,16772684.0,2304974.0,2.931598980606509,7.276734574880237,2,2
DE14,9262784.333333334,1887888.0,2.956322984596053,4.9064268289926805,2,2
DE21,40980401.666666664,4705040.0,1.6467671813992544,8.70989442526879,2,2
DE22,9318029.666666666,1244102.0,1.7549065597213742,7.489763433116148,2,2
DE23,4891734.333333333,1107750.0,1.0619273510580791,4.415919055141804,2,2
DE24,4471590.666666667,1051868.0,-1.0394248434629372,4.251094877557514,2,2
DE25,8502938.0,1782419.0,1.7903631588907523,4.770448474797452,2,2
DE26,5484307.666666667,1310561.0,0.13552869515561056,4.18470232722221,2,2
DE27,15079522.333333334,1903481.0,2.5166438201143606,7.922076623477373,2,2
DE30,28700243.0,3632853.0,1.3528730494991692,7.900193869666623,2,2
DE40,12229256.333333334,2545159.0,2.013705851344228,4.804908586588631,2,2
DE50,2669500.3333333335,695758.0,3.175034359618931,3.8368230524598115,2,2
DE60,15542204.333333334,1832675.0,1.1478304191449287,8.480611310425108,2,2
DE71,19202919.0,4001146.0,1.155842686743505,4.79935473486846,2,2
DE72,2186459.0,1036748.0,-0.4163292079704955,2.108958975565904,2,2
DE73,6558670.333333333,1199039.0,-1.4221690086558607,5.469939120690263,2,2
DE80,29200473.666666668,1576049.0,-2.053107188233768,18.52764328181844,2,2
DE91,6216717.0,1589602.0,-0.1901319392831136,3.910863851454641,2,2
DE92,6249284.0,2117034.0,-0.966317183739716,2.95190535437787,2,2
DE93,9562168.666666666,1716631.0,0.909365799688713,5.570311072482476,2,2
DE94,17283376.333333332,2559680.0,2.1297800836652487,6.752162900570904,2,2
DEA1,12118584.666666666,5222540.0,0.7711172920008771,2.3204388413811414,2,2
DEA2,13530526.666666666,4461422.0,0.5363443451929268,3.0327834189786724,2,2
DEA3,4478280.333333333,2640307.0,1.267800849473495,1.6961210697594382,2,2
DEA4,3916293.0,2070052.0,0.906810595893675,1.8918814599826477,2,2
DEA5,8640648.0,3570099.0,-0.29169073471016493,2.4202824627552344,2,2
DEB1,7606568.666666667,1522385.0,2.314784117128974,4.996481617111747,2,2
DEB2,5980669.0,524876.0,-0.5562720332630283,11.394441734809746,2,2
DEB3,5960811.333333333,2061294.0,0.968734199988591,2.891781246796106,2,2
DEC0,2382905.0,1011891.0,1.9976121192491956,2.3549028502081746,2,2
DED2,8423598.666666666,1588724.0,-0.5899011180596695,5.302115827964244,2,2
DED4,3728496.3333333335,1397272.0,-3.3844699446971633,2.6684112566009577,1,1
DED5,4750733.333333333,1063971.0,3.0560368169808303,4.465096636405817,2,2
DEE0,7162971.333333333,2150239.0,-3.5316302015086274,3.331244263234614,1,1
DEF0,34533567.333333336,2939283.0,2.193250031749371,11.748976649520763,2,2
DEG0,7785672.666666667,2118830.0,-1.6890533445208615,3.674515023228228,2,2
DK01,14351056.0,1891871.0,4.850495896379959,7.585641938588836,0,0
DK02,3280547.0,849857.0,2.1471239150012456,3.860116466652625,2,2
DK03,10562854.0,1237413.0,1.4452436713760164,8.53623971947927,2,2
DK04,5845252.333333333,1358879.0,3.96560281852259,4.301525252309686,0,0
DK05,5027821.333333333,594634.0,0.6767399702621413,8.455320976152278,2,2
EL30,11821849.666666666,3789105.0,-1.6374743187293377,3.119958319092943,2,2
EL41,2790373.6666666665,194221.0,3.8158154210214947,14.367002881597081,0,0
EL42,38673551.0,326433.0,-0.7662066386332332,118.47316600956398,3,4
EL43,33635539.0,622246.0,-0.8907112452892779,54.055050574853034,3,4
EL51,3595814.6666666665,559007.0,-3.0505002702996786,6.432503826726081,1,1
EL52,17033502.333333332,1779991.0,-3.638619775827613,9.569431718100446,1,1
EL53,322620.3333333333,249809.0,-7.4599188429299135,1.2914680148967144,1,1
EL54,3015815.0,318495.0,-1.7613831299318725,9.468955556602145,2,2
EL61,3959109.3333333335,680837.0,-4.4921272215074195,5.8150619507067525,1,1
EL62,18933377.666666668,201877.0,-3.8777795398951382,93.78670015240304,3,4
EL63,2252613.0,641643.0,-3.929242635585429,3.5106951996671047,1,1
EL64,2818328.3333333335,504332.0,-4.324834356153691,5.588240153972648,1,1
EL65,5447635.0,533872.0,-5.151816602044224,10.204009575328918,1,1
ES11,13155545.666666666,2699424.0,0.10303183665254928,4.873463993306226,2,2
ES12,6490568.0,1006060.0,-1.703062338195934,6.451472079200047,2,2
ES13,5838065.666666667,588387.0,1.6023166355133758,9.922152710149387,2,2
ES21,9622971.333333334,2216302.0,1.848436441309514,4.341904367425258,2,2
ES22,3947078.6666666665,672155.0,4.949871584614908,5.87227450017729,0,0
ES23,1657389.3333333333,322282.0,2.951506875416812,5.1426680153819735,2,2
ES24,8537820.333333334,1341289.0,2.90051031866938,6.365384591488735,2,2
ES30,29754306.666666668,6871903.0,7.340745059321526,4.329849630686968,0,0
ES41,12608825.0,2383703.0,-1.048029116930691,5.2895956417389245,2,2
ES42,5818718.0,2084086.0,3.441982413565807,2.791975954927004,2,2
ES43,3820926.0,1054306.0,-1.6817047489514982,3.624114820554943,2,2
ES51,84721131.0,7901963.0,6.271974665237015,10.721529700911027,0,0
ES52,51820857.0,5216195.0,7.2742742686218484,9.934608848020444,0,0
ES53,69336925.66666667,1209906.0,7.933086407420746,57.30769635547445,3,3
ES61,72951448.33333333,8584147.0,2.8035372985580596,8.498392249495883,2,2
ES62,5465555.0,1551692.0,6.071069669808577,3.5223195067062276,0,0
ES63,138730.33333333334,83052.0,-2.517374336376528,1.6704032814782708,1,1
ES64,129008.0,85493.0,-0.11500394963059336,1.5089890400383656,2,2
ES70,94776941.0,2213016.0,5.027864294155371,42.82704734172731,3,3
FI19,4422781.666666667,1384761.0,0.8762899667841476,3.1938953123800187,2,2
FI1B,6364023.0,1733033.0,6.276364681835972,3.67218800796061,0,0
FI1C,3213958.3333333335,1144473.0,-0.7233355891654372,2.808243037042668,2,2
FI1D,8060966.666666667,1271344.0,-1.3923980998736296,6.340507892959472,2,2
FI20,432165.3333333333,30359.0,3.567431923768185,14.235163652733402,0,0
FR10,83064518.0,12407359.0,2.4079606682699812,6.694778316642567,2,2
FRB0,10456538.666666666,2581716.0,0.5889570838287301,4.050228091186895,2,2
FRC1,7153451.333333333,1619967.0,-0.3577618731569308,4.415800651083221,2,2
FRC2,4335510.666666667,1180267.0,-0.15266269178250655,3.6733304130901456,2,2
FRD1,11056848.0,1477731.0,0.8677441099405285,7.482314440178896,2,2
FRD2,5522959.333333333,1861791.0,0.46948963949036693,2.9664765450758614,2,2
FRE1,9008251.0,4073012.0,-0.07382806237305048,2.211692722731973,2,2
FRE2,6402931.333333333,1917280.0,-0.8938285388199971,3.339591156916743,2,2
FRF1,10823141.333333334,1927888.0,2.0986203558221006,5.613988641110549,2,2
FRF2,4359134.333333333,1308276.0,-1.5966498311918729,3.331968432756798,2,2
FRF3,7395558.0,2318308.0,-0.5001159564690826,3.1900670661534187,2,2
FRG0,25456412.0,3898424.0,3.8463826977304576,6.5299238871913365,0,0
FRH0,26162578.0,3440248.0,4.0263967231654,7.604852324599855,0,0
FRI1,36772923.0,3575256.0,4.996977364855626,10.285395787042942,0,0
FRI2,2567783.6666666665,726934.0,-0.23246750582878087,3.5323477326231356,2,2
FRI3,17447883.0,1836624.0,1.7691507071688675,9.499975498523378,2,2
FRJ1,38551641.0,2948904.0,5.161037761614154,13.07320991120769,0,0
FRJ2,17421476.333333332,3172349.0,4.3957795645691595,5.491664483741648,0,0
FRK1,7189404.666666667,1370396.0,0.06422922013012446,5.246224205752693,2,2
FRK2,53718804.666666664,6826040.0,3.6673683047629737,7.869687940103876,0,0
FRL0,55732560.333333336,5194349.0,3.948874611307085,10.72946009852887,0,0
FRM0,10703903.0,354266.0,5.989886399215487,30.21431071567692,0,0
FRY1,1259942.3333333333,413861.0,-1.6312776563100257,3.0443611099700942,2,2
FRY2,1210395.3333333333,359202.0,-2.3200635604135766,3.369678713741386,1,1
FRY3,410610.3333333333,290110.0,7.251347201297949,1.4153608401410958,0,0
FRY4,1568058.3333333333,886453.0,4.866109554056786,1.768913110264541,0,0
FRY5,139278.0,310199.0,23.50541751245084,0.4489956447312854,0,0
HR02,1289675.3333333333,999106.0,-9.153552062403538,1.2908293347586075,1,1
HR03,87090481.0,1297987.0,-1.9995542418821164,67.09657415675196,3,4
HR05,2453313.6666666665,768624.0,-0.8013011990611015,3.1918254786041893,2,2
HR06,1163272.3333333333,785177.0,-2.4226854491683807,1.4815415292772627,1,1
HU11,9875162.333333334,1671004.0,-2.136407137878381,5.909717950006902,1,1
HU12,1396495.0,1328790.0,6.28338153560644,1.0509523702014614,0,0
HU21,3957712.6666666665,1059399.0,-0.013806812432561759,3.735809328370771,2,2
HU22,5414105.666666667,982924.0,1.0471516794884068,5.5081630590632304,2,2
HU23,2815361.6666666665,858675.0,-3.768344998871077,3.2787278850166435,1,1
HU31,2624943.0,1093790.0,-4.455711876724218,2.399860119401348,1,1
HU32,2429777.6666666665,1405012.0,-3.5593242545292307,1.7293643518109927,1,1
HU33,2065494.6666666667,1200150.0,-3.680481874358081,1.7210304267522116,1,1
IE04,11433425.666666666,930208.0,9.92812981740649,12.291257080853601,0,0
IE05,15715368.333333334,1741180.0,9.775223556313646,9.025700004211703,0,0
IE06,11932848.666666666,2600007.0,10.61411875485355,4.589544823020348,0,0
ITC1,14185254.666666666,4251351.0,-2.2595404825524015,3.33664631940921,1,1
ITC2,3571722.6666666665,123130.0,-2.6431508640155927,29.007737080050894,2,2
ITC3,15894260.333333334,1507636.0,-2.1018578163019987,10.542505175873575,2,2
